movie_id,director
17127,Nicholas Hytner
17133,Stephen Gyllenhaal
19848,Ice Cube
17644,Steve Gomer
1774,Michael Moore
30265,Wayne Wang
2157,Stephen Hopkins
8838,Harold Becker
29193,David Mamet
795,Brad Silberling
16980,Whit Stillman
27472,Howard Deutch
47881,Michael Lehmann
9469,Spike Lee
12488,Robert Altman
267,Pedro Almodóvar
16148,Jake Kasdan
9449,Peter Hewitt
31220,Todd Holland
13907,Nick Broomfield
29825,Tom DiCillo
10622,Sammo Hung
30020,Abbas Kiarostami
17139,Mike van Diem
10216,Peter Medak
9771,John Warren
9448,Kirk Wong
38618,Carl Schenkel
78373,Tim McCanlies
4415,Bille August
55561,Jill Sprecher
8656,Mimi Leder
18937,Frederik Du Chau
929,Roland Emmerich
9452,Warren Beatty
1878,Terry Gilliam
9844,Don Roos
14342,Christopher Guest
9715,Forest Whitaker
26610,Erik Skjoldbjærg
40961,Scott Reynolds
1965,Andrew Davis
312,Caroline Link
6068,Ivan Reitman
15037,Deborah Kaplan
37636,Lisa Cholodenko
21334,Majid Majidi
32284,Tiffanie DeBartolo
37410,Hal Hartley
53765,Noah Baumbach
10674,Tony Bancroft
846,Rob Bowman
12655,Paddy Breathnach
3050,Betty Thomas
1389,Steven Soderbergh
11020,Peter Weir
20862,Chris Eyre
9464,Vincent Gallo
95,Michael Bay
944,Richard Donner
35680,Daisy von Scherler Mayer
11551,Joe Dante
473,Darren Aronofsky
102304,Susan Skoog
544,Bobby Farrelly
10513,Edward D. Wood Jr.
65203,Harry Beaumont
143,Lewis Milestone
42861,Wesley Ruggles
33680,Edmund Goulding
12311,Frank Lloyd
43277,Robert Z. Leonard
43278,William Dieterle
34106,Frank Capra
27367,William Wyler
17661,Leo McCarey
28580,Billy Wilder
887,William Wyler
33667,Elia Kazan
23383,Laurence Olivier
25430,Robert Rossen
11426,Fred Zinnemann
654,Elia Kazan
15919,Delbert Mann
1725,Robert Wise
5769,Tony Richardson
874,Fred Zinnemann
10633,Norman Jewison
17917,Carol Reed
3116,John Schlesinger
1051,William Friedkin
1366,John G. Avildsen
12102,Robert Benton
16619,Robert Redford
9443,Hugh Hudson
11050,James L. Brooks
606,Sydney Pollack
746,Bernardo Bertolucci
380,Barry Levinson
403,Bruce Beresford
11485,Woody Allen
466,Alan J. Pakula
13820,Alex Cox
15389,Whit Stillman
13597,Jim Henson
2108,John Hughes
10014,Jack Sholder
10072,Chuck Russell
10131,Renny Harlin
10160,Stephen Hopkins
11284,Rachel Talalay
4488,Sean S. Cunningham
9725,Steve Miner
9728,Steve Miner
9730,Joseph Zito
9731,Danny Steinmann
10225,Tom McLoughlin
10281,John Carl Buechler
10283,Rob Hedden
948,John Carpenter
11281,Rick Rosenthal
10676,Tommy Lee Wallace
11357,Dwight H. Little
11361,Dominique Othenin-Girard
36599,Paul Lynch
41769,Clay Borris
10585,Tom Holland
11186,John Lafia
11187,Jack Bender
609,Tobe Hooper
11133,Brian Gibson
10306,Gary Sherman
9552,William Friedkin
11586,John Boorman
11587,William Peter Blatty
